id	file_name	file_size	md5sum	experimental_strategy	case_submitter_id	aliquot_submitter_id	file_type
89be6c53-daab-4fb5-a7d2-32b807ffbd9b	9aac269b-4901-4bb7-9e79-7930d04568c9.rna_seq.star_gene_counts.tsv.gz	424378	dad48537156ab0e87539ecfcd57b868f	RNA-Seq	C3L-00429	CPT0011840014	rna_seq.star_gene_counts
8fe50ef6-0940-406e-8023-7801d86dc111	7c585bf4-c887-4d7a-b011-9df06da7aaaa.FPKM.txt.gz	335682	c8ecb882274e4461e92adb90c712ffe6	RNA-Seq	C3L-01046	CPT0127480010	FPKM
946c5aae-d3b8-4bb6-9480-596fd1dbd715	8a2610ea-ca34-4c22-bacf-d12f4fffe530.FPKM-UQ.txt.gz	444803	4f5244bb1c5272d7cfd03f8b918b218c	RNA-Seq	C3L-00349	CPT0000490005	FPKM-UQ
9c122241-a5dc-45d2-b6e3-7a19c575e0ac	1cc66f27-f40b-4384-92ae-3577ee05e5c8.FPKM.txt.gz	341134	377fa33d7e2b853bbe2d9e82a548b80a	RNA-Seq	C3L-00365	CPT0002410013	FPKM
9ea16b29-2645-4835-b26c-a8dcc7a368df	e2c0614b-aba1-4e2e-92b7-cbbba87ae4a1.FPKM-UQ.txt.gz	447946	b58acf84fc84ff5e2b6a0d5005c8265b	RNA-Seq	C3N-01192	CPT0087950006	FPKM-UQ
9face9f0-0f1d-4ecc-ba4e-92e2d758e384	f286b658-5d39-4f6d-affc-387d80da55e3.htseq_counts.txt.gz	259414	c84d89ecd984861d8324cd144c39715e	RNA-Seq	C3L-00016	CPT0000160009	htseq_counts
a28f178f-6b96-4c58-a69e-4b3993950b9e	633eb285-10b8-4a41-8fd8-56127b0b5551.FPKM.txt.gz	344511	52b4321bea992f60462b6b83d3febeed	RNA-Seq	C3N-01518	CPT0167640009	FPKM
ae09c24c-fc0c-4187-8d5f-defe9067ab37	7c585bf4-c887-4d7a-b011-9df06da7aaaa.FPKM-UQ.txt.gz	439018	500b5de04b41fe27070904002cf903a4	RNA-Seq	C3L-01046	CPT0127480010	FPKM-UQ
b08957e5-d690-4945-8570-64a7a177d953	db99b367-2037-4810-8f6a-d0dc3df56838.rna_seq.star_gene_counts.tsv.gz	420541	536feb20e4c8bdcc8fdee74041093f99	RNA-Seq	C3L-00016	CPT0000160009	rna_seq.star_gene_counts
d15ddfea-e907-4762-b676-e39d21502ee3	633eb285-10b8-4a41-8fd8-56127b0b5551.htseq_counts.txt.gz	262802	04e9d9d2a1fa255f4bdb1fdba38fab68	RNA-Seq	C3N-01518	CPT0167640009	htseq_counts
d99afa26-c6a0-4f9b-8ffa-50f12e8c97c5	8a2610ea-ca34-4c22-bacf-d12f4fffe530.FPKM.txt.gz	338867	04290f05a979fde38445185dbd01e552	RNA-Seq	C3L-00349	CPT0000490005	FPKM
dcda00d8-7694-42d7-9a24-1bc4336b8aa0	f286b658-5d39-4f6d-affc-387d80da55e3.FPKM-UQ.txt.gz	434008	1efbc4e314fe8f532fad592161cd377d	RNA-Seq	C3L-00016	CPT0000160009	FPKM-UQ
e0be7b4e-7736-4e61-a59b-03d51c039f3f	106802d3-0b12-468a-ab4b-eddba752d1a3.htseq_counts.txt.gz	260810	2d40cf98681f257844065d74e983e7c2	RNA-Seq	C3N-01505	CPT0089150006	htseq_counts
ed26473f-3c9f-4b76-82c3-acea3d014f73	5f6c699d-3dd1-4c1e-b772-71283cf32603.rna_seq.star_gene_counts.tsv.gz	419658	c310619ae4709ccca57ae16395645da6	RNA-Seq	C3L-01046	CPT0127480010	rna_seq.star_gene_counts
efe1d447-d368-4ad1-9e2c-5b28dbf85e35	f286b658-5d39-4f6d-affc-387d80da55e3.FPKM.txt.gz	333341	19f478ec64585e8d397755e63e7e4f33	RNA-Seq	C3L-00016	CPT0000160009	FPKM
0addd669-4cfd-4182-a2f1-2d61b3ab87dc	a37a24ab-fd15-4306-a6a6-fff1f37b8f0c.htseq_counts.txt.gz	260355	a9297d842710b7a6641b82824c7043a9	RNA-Seq	C3N-01367	CPT0093550006	htseq_counts
0ba908f8-0669-4961-acd9-732d66da2de0	179d1f4a-7c70-40fa-84bf-9476a1d1a40c.FPKM.txt.gz	337884	e06cbf6d943319b842fe8eb931a28e6c	RNA-Seq	C3N-01816	CPT0168080009	FPKM
0cf17e5e-2d6d-4090-8656-d0b5343d9d90	d08b4c8d-cae7-4859-974b-b046e0816be0.FPKM.txt.gz	338296	ed6d368021dd39d8a6744bfbcbd3c62b	RNA-Seq	C3L-00506	CPT0017560020	FPKM
0f8f5805-c42c-4a81-ae53-c1c27c976fbf	adf333ec-90fa-4ae9-becc-9909cd5797cb.FPKM-UQ.txt.gz	442181	08c4bab229f0bcc3beeb5ba4c68fd518	RNA-Seq	C3N-01368	CPT0093590006	FPKM-UQ
1286d0ef-d4dc-41ac-a5b3-90dcc00ffc3c	e19106fc-53f6-4c32-a175-e13023ce33b7.htseq_counts.txt.gz	262279	2dc76555dc41b22b33bbef758db8e228	RNA-Seq	C3L-02041	CPT0125510006	htseq_counts
16258815-5d4e-4d4a-8b50-c63d7c21dd97	a37a24ab-fd15-4306-a6a6-fff1f37b8f0c.FPKM.txt.gz	343280	7f7d0d7e845de4536aa017711c4052a8	RNA-Seq	C3N-01367	CPT0093550006	FPKM
1967f9e5-2db2-477e-8abd-69591faf6f28	f4c01712-c224-40af-860f-8f8d44fab187.FPKM-UQ.txt.gz	443532	91ed0db2b596dcff2e8b857a8368ed01	RNA-Seq	C3N-02183	CPT0168480009	FPKM-UQ
1af9f99e-12ab-49e4-b88c-05796651a720	88b47a2b-25e4-4445-8486-0043a432397c.htseq_counts.txt.gz	263563	1bc7bf674397a3f468021e5773a392e1	RNA-Seq	C3N-02188	CPT0168830009	htseq_counts
20db2673-6e0b-4fc0-a6b3-44dfffcbb57a	48d1a5e8-481e-4b3f-94ac-6c297f0e3ef5.rna_seq.star_gene_counts.tsv.gz	427135	b20b687b72fbf570d2f25aefb3e28cc4	RNA-Seq	C3N-00665	CPT0093360006	rna_seq.star_gene_counts
21359052-550f-406f-a454-4a20b0d8a76f	ed150570-994e-40b0-9bf0-ab6f0944c4b9.FPKM-UQ.txt.gz	453204	daf2cb5f7281db3b1148d8bee8362f4c	RNA-Seq	C3N-00662	CPT0087680006	FPKM-UQ
26d5475a-9f22-427e-aae8-6d8c9b4b379c	bb84d993-e27e-4cd0-b3ef-c71f8adb872c.htseq_counts.txt.gz	261151	27fefe3383bf6849c919e7012980b918	RNA-Seq	C3L-00278	CPT0000430008	htseq_counts
29b80aec-e55c-40d6-82d0-0028a3ec4e3d	7ecb1fa8-f5c1-40b6-8909-8a6232ae461f.rna_seq.star_gene_counts.tsv.gz	433004	448871796b08f1ccd4dbffcb153251f6	RNA-Seq	C3N-00662	CPT0087680006	rna_seq.star_gene_counts
2cc7c6f2-3351-4c0d-9a3d-c15d8b01adfd	4393f36b-b796-4a33-91f5-aceb56768aae.FPKM-UQ.txt.gz	450566	169e04e5076d523d158eb90dc1bfe184	RNA-Seq	C3L-02504	CPT0175060009	FPKM-UQ
2da53678-1b23-4b5d-bd9a-254ff93659e0	21f31e27-963c-44f5-893a-137ab7acefa7.htseq_counts.txt.gz	260441	4b89f29233949bc270a6fa84af6867b2	RNA-Seq	C3L-01043	CPT0127420009	htseq_counts
2e4cb894-a655-4b0c-b653-6f79d287d170	d08b4c8d-cae7-4859-974b-b046e0816be0.htseq_counts.txt.gz	259880	7ebb997ffe83de6c4f6f885f7179b941	RNA-Seq	C3L-00506	CPT0017560020	htseq_counts
3396d0bc-38a4-4b42-a6f1-73e48211edad	21f31e27-963c-44f5-893a-137ab7acefa7.FPKM.txt.gz	339906	ce78efe1ace6022f65bd859a1a336a89	RNA-Seq	C3L-01043	CPT0127420009	FPKM
34900a8d-2d44-4c08-b120-20802e44749a	2c57cb9b-9996-4619-80eb-c66eefedca1e.rna_seq.star_gene_counts.tsv.gz	434214	98d73fe74190ef4369f6cb3e3e669d95	RNA-Seq	C3N-02188	CPT0168830009	rna_seq.star_gene_counts
36042dc8-9395-491e-8d50-9cee7acf6233	d75aae45-ccd9-4948-bef5-a370f5b51997.rna_seq.star_gene_counts.tsv.gz	430463	76b00c632249e6c73ec37cb0b83c1b99	RNA-Seq	C3N-01817	CPT0168170009	rna_seq.star_gene_counts
3933ba62-9867-4e04-93c5-f6c36d888b34	116dc1ac-26e8-47b4-92aa-5c0ff0a50907.rna_seq.star_gene_counts.tsv.gz	426055	eb1810d6bf544c2e30f6239d989eb19e	RNA-Seq	C3L-00591	CPT0017810010	rna_seq.star_gene_counts
39cf5a5a-12e0-40e3-a57c-3d7bbb7a6025	21f31e27-963c-44f5-893a-137ab7acefa7.FPKM-UQ.txt.gz	445167	2e9d48dac4b497c27e71591fc5c5778f	RNA-Seq	C3L-01043	CPT0127420009	FPKM-UQ
3a2a7042-c3e1-4ad4-b7ac-4b4b1534695a	33ca027c-31d1-4716-8889-597415f25212.htseq_counts.txt.gz	259177	0afdf02bf6aa516f17605c9424c641a4	RNA-Seq	C3N-01850	CPT0125260008	htseq_counts
3a4f6f43-4066-4839-99aa-d0671bdafb79	66771f6c-b078-4501-8f51-6b4a2016e01b.FPKM.txt.gz	343222	a63cabba6234b5ffe360a02b1669f9e1	RNA-Seq	C3N-01817	CPT0168170009	FPKM
457c9b0d-d52a-452c-9ddb-0a7d84921d4f	04084199-cebe-46a5-95d3-6be7761ad757.htseq_counts.txt.gz	261048	ea054f1997c1a0cb8501aa9e0f6412ac	RNA-Seq	C3L-00591	CPT0017810010	htseq_counts
4c05649a-016a-4ecf-b44b-46042e50a030	2953bc35-2586-483a-8f5f-889a252a9509.FPKM.txt.gz	340119	59b6c7391f531bcc899f25a7f8254fae	RNA-Seq	C3N-02185	CPT0168590009	FPKM
4d083890-52ab-46e3-b597-9b9cde61e26c	bb84d993-e27e-4cd0-b3ef-c71f8adb872c.FPKM.txt.gz	345770	9b2484b2064add23c68d56ecccdeff4e	RNA-Seq	C3L-00278	CPT0000430008	FPKM
4e870b9f-e64b-4a8c-982f-c49a84dffd41	f2bea98e-f4e6-400b-ae9c-10bad2f1a72d.rna_seq.star_gene_counts.tsv.gz	427279	96c89c13721695bce1e6637bee6e92cc	RNA-Seq	C3N-02185	CPT0168590009	rna_seq.star_gene_counts
50d4bc37-7bf0-4742-b07d-2d4018049b06	f4c01712-c224-40af-860f-8f8d44fab187.FPKM.txt.gz	338222	4f1c4cd49d958d7a26fd3a2afe3874f5	RNA-Seq	C3N-02183	CPT0168480009	FPKM
582656e7-1cae-4258-9ae9-ab6d3a5244c9	a8fa5b06-05f8-4688-9d06-224a4ffebaf0.htseq_counts.txt.gz	257751	516c78065a417039478f183489ca2661	RNA-Seq	C3L-01045	CPT0123530006	htseq_counts
5f0e27a5-fb01-41fb-8023-7a88cf360e81	4366217b-caf9-427e-89d3-94265064914e.htseq_counts.txt.gz	262801	1ba8293161ed76dc590f7ed94aceb604	RNA-Seq	C3L-00674	CPT0064650006	htseq_counts
5f97225a-d725-4b4a-8c14-a176288b9b73	66771f6c-b078-4501-8f51-6b4a2016e01b.htseq_counts.txt.gz	261197	fe054e1243e0a50e052157f6390c6398	RNA-Seq	C3N-01817	CPT0168170009	htseq_counts
62304f6f-d537-4a75-8e0a-f68abcc5225e	4876389c-4c76-4261-ab4e-bcec93a46982.rna_seq.star_gene_counts.tsv.gz	428683	566bd69bc7a7b42629e1248396036ad3	RNA-Seq	C3L-00278	CPT0000430008	rna_seq.star_gene_counts
